"template_id","question","question_type","attribute_type","answer_candidates"
1,"Does this ECG show symptoms of non-diagnostic t abnormalities?","single-verify","scp_code","['no', 'not sure', 'yes']"
2,"Is this a normal ECG?","single-verify","scp_code","['no', 'yes']"
3,"Which symptom does this ECG show, myocardial infarction or st/t change?","single-choose","scp_code","['conduction disturbance', 'hypertrophy', 'myocardial infarction', 'none', 'st/t change']"
4,"Which diagnostic symptom does this ECG show, non-specific st changes or non-diagnostic t abnormalities, including uncertain symptoms?","single-choose","scp_code","['complete left bundle branch block', 'complete right bundle branch block', 'digitalis effect', 'first degree av block', 'incomplete left bundle branch block', 'incomplete right bundle branch block', 'ischemic in anterior leads', 'ischemic in anterolateral leads', 'ischemic in anteroseptal leads', 'ischemic in inferior leads', 'ischemic in inferolateral leads', 'ischemic in lateral leads', 'left anterior fascicular block', 'left atrial overload/enlargement', 'left posterior fascicular block', 'left ventricular hypertrophy', 'long qt-interval', 'myocardial infarction in anterior leads', 'myocardial infarction in anterolateral leads', 'myocardial infarction in anteroseptal leads', 'myocardial infarction in inferior leads', 'myocardial infarction in inferolateral leads', 'myocardial infarction in inferoposterior leads', 'myocardial infarction in inferoposterolateral leads', 'myocardial infarction in lateral leads', 'myocardial infarction in posterior leads', 'non-diagnostic t abnormalities', 'non-specific intraventricular conduction disturbance (block)', 'non-specific ischemic', 'non-specific st changes', 'none', 'right atrial overload/enlargement', 'subendocardial injury in anterolateral leads', 'subendocardial injury in anteroseptal leads', 'subendocardial injury in inferior leads', 'subendocardial injury in inferolateral leads', 'subendocardial injury in lateral leads']"
5,"Which diagnostic symptom does this ECG show, right atrial overload/enlargement or ischemic in inferolateral leads, excluding uncertain symptoms?","single-choose","scp_code","['complete left bundle branch block', 'complete right bundle branch block', 'digitalis effect', 'first degree av block', 'incomplete left bundle branch block', 'incomplete right bundle branch block', 'ischemic in anterior leads', 'ischemic in anterolateral leads', 'ischemic in anteroseptal leads', 'ischemic in inferior leads', 'ischemic in inferolateral leads', 'ischemic in lateral leads', 'left anterior fascicular block', 'left atrial overload/enlargement', 'left posterior fascicular block', 'left ventricular hypertrophy', 'long qt-interval', 'myocardial infarction in anterior leads', 'myocardial infarction in anterolateral leads', 'myocardial infarction in anteroseptal leads', 'myocardial infarction in inferior leads', 'myocardial infarction in inferolateral leads', 'myocardial infarction in inferoposterior leads', 'myocardial infarction in inferoposterolateral leads', 'myocardial infarction in lateral leads', 'myocardial infarction in posterior leads', 'non-diagnostic t abnormalities', 'non-specific intraventricular conduction disturbance (block)', 'non-specific ischemic', 'non-specific st changes', 'none', 'right atrial overload/enlargement', 'subendocardial injury in anterolateral leads', 'subendocardial injury in anteroseptal leads', 'subendocardial injury in inferior leads', 'subendocardial injury in inferolateral leads', 'subendocardial injury in lateral leads']"
6,"Which form-related symptom does this ECG show, non-specific st changes or non-diagnostic t abnormalities?","single-choose","scp_code","['abnormal qrs', 'atrial premature complex', 'digitalis effect', 'high qrs voltage', 'inverted t-waves', 'long qt-interval', 'low amplitude t-wave', 'low qrs voltages in the frontal and horizontal leads', 'non-diagnostic t abnormalities', 'non-specific st changes', 'non-specific st depression', 'non-specific st elevation', 'non-specific t-wave changes', 'none', 'prolonged pr interval', 'q waves present', 't-wave abnormality', 'ventricular premature complex', 'voltage criteria (qrs) for left ventricular hypertrophy']"
7,"Which rhythm-related symptom does this ECG show, atrial fibrillation or sinus rhythm?","single-choose","scp_code","['atrial fibrillation', 'atrial flutter', 'bigeminal pattern (unknown origin, supraventricular, or ventricular)', 'none', 'normal functioning artificial pacemaker', 'sinus arrhythmia', 'sinus bradycardia', 'sinus rhythm', 'sinus tachycardia', 'supraventricular tachycardia']"
8,"What diagnostic symptoms does this ECG show, including uncertain symptoms?","single-query","scp_code","['complete left bundle branch block', 'complete right bundle branch block', 'digitalis effect', 'first degree av block', 'incomplete left bundle branch block', 'incomplete right bundle branch block', 'ischemic in anterior leads', 'ischemic in anterolateral leads', 'ischemic in anteroseptal leads', 'ischemic in inferior leads', 'ischemic in inferolateral leads', 'ischemic in lateral leads', 'left anterior fascicular block', 'left atrial overload/enlargement', 'left posterior fascicular block', 'left ventricular hypertrophy', 'long qt-interval', 'myocardial infarction in anterior leads', 'myocardial infarction in anterolateral leads', 'myocardial infarction in anteroseptal leads', 'myocardial infarction in inferior leads', 'myocardial infarction in inferolateral leads', 'myocardial infarction in inferoposterior leads', 'myocardial infarction in inferoposterolateral leads', 'myocardial infarction in lateral leads', 'myocardial infarction in posterior leads', 'non-diagnostic t abnormalities', 'non-specific intraventricular conduction disturbance (block)', 'non-specific ischemic', 'non-specific st changes', 'none', 'right atrial overload/enlargement', 'subendocardial injury in anterolateral leads', 'subendocardial injury in anteroseptal leads', 'subendocardial injury in inferior leads', 'subendocardial injury in inferolateral leads', 'subendocardial injury in lateral leads']"
9,"What diagnostic symptoms does this ECG show, excluding uncertain symptoms?","single-query","scp_code","['complete left bundle branch block', 'complete right bundle branch block', 'digitalis effect', 'first degree av block', 'incomplete left bundle branch block', 'incomplete right bundle branch block', 'ischemic in anterior leads', 'ischemic in anterolateral leads', 'ischemic in anteroseptal leads', 'ischemic in inferior leads', 'ischemic in inferolateral leads', 'ischemic in lateral leads', 'left anterior fascicular block', 'left atrial overload/enlargement', 'left posterior fascicular block', 'left ventricular hypertrophy', 'long qt-interval', 'myocardial infarction in anterior leads', 'myocardial infarction in anterolateral leads', 'myocardial infarction in anteroseptal leads', 'myocardial infarction in inferior leads', 'myocardial infarction in inferolateral leads', 'myocardial infarction in inferoposterior leads', 'myocardial infarction in inferoposterolateral leads', 'myocardial infarction in lateral leads', 'myocardial infarction in posterior leads', 'non-diagnostic t abnormalities', 'non-specific intraventricular conduction disturbance (block)', 'non-specific ischemic', 'non-specific st changes', 'none', 'right atrial overload/enlargement', 'subendocardial injury in anterolateral leads', 'subendocardial injury in anteroseptal leads', 'subendocardial injury in inferior leads', 'subendocardial injury in inferolateral leads', 'subendocardial injury in lateral leads']"
10,"What rhythm-related symptoms does this ECG show?","single-query","scp_code","['atrial fibrillation', 'atrial flutter', 'bigeminal pattern (unknown origin, supraventricular, or ventricular)', 'none', 'normal functioning artificial pacemaker', 'sinus arrhythmia', 'sinus bradycardia', 'sinus rhythm', 'sinus tachycardia', 'supraventricular tachycardia']"
